plant_id,customer_id,plant_name,manufacturer,model,installation_date,cooling_capacity,heating_capacity,energy_efficiency_rating,warranty_expiration,last_inspection_date,plant_status
1013,332,"Halvorson, Hirthe and Prosacco Plant",Deckow and Sons,IOACXKZ6RD,2022-03-18,46970 BTU,53080 BTU,15.763477324730852,2030-06-15,2024-05-26,Inactive
1014,332,Graham - Langosh Plant,"Kozey, Terry and Prosacco",FYTXQVKW36,2023-09-13,58658 BTU,48798 BTU,18.204090631624005,2027-10-02,2024-07-29,Active
1015,332,Koelpin - Quitzon Plant,Kreiger - Reinger,KAJUPHR9I4,2024-02-18,44996 BTU,27463 BTU,18.907998743321343,2026-09-05,2024-07-10,Under Maintenance
1016,332,"Gleichner, Rosenbaum and Swaniawski Plant",Sanford - Stanton,JJ2E4XLVIB,2022-10-18,57131 BTU,31428 BTU,19.980965328278216,2027-07-17,2024-06-18,Inactive
1017,333,Klocko Inc Plant,Larkin - Ernser,ZVBQEB5XSP,2022-12-14,51406 BTU,35545 BTU,14.247009807049658,2025-12-06,2023-09-20,Under Maintenance
1018,333,Halvorson LLC Plant,Wolf LLC,KEWM7WVTPY,2022-04-13,38336 BTU,35778 BTU,14.063855156494792,2023-04-07,2023-01-30,Inactive
1019,333,"Stark, Upton and Hermann Plant","Pfannerstill, DuBuque and Hansen",CXRVOFMTIH,2020-10-07,58411 BTU,58575 BTU,14.723999269538169,2027-11-29,2021-09-10,Inactive
1020,333,Beatty - Schuppe Plant,Bogan Group,UJJNE9IUJZ,2024-02-03,34543 BTU,49135 BTU,19.412796518956625,2029-06-10,2024-06-02,Inactive
1021,333,Heathcote - Larkin Plant,Borer - Blanda,4J3TRJJATI,2020-10-16,34823 BTU,40257 BTU,17.143141809553732,2030-06-03,2022-02-24,Under Maintenance
1022,334,Muller - O'Kon Plant,Wintheiser Group,SRT4XF3MM6,2021-10-30,39159 BTU,30883 BTU,18.10119984896153,2025-02-22,2023-10-27,Under Maintenance
1023,334,"Trantow, Kemmer and Graham Plant","Padberg, Ward and Bechtelar",C2QURDAEOA,2020-02-09,45760 BTU,46492 BTU,13.001009496078748,2020-07-24,2021-01-24,Inactive
1024,334,"Beahan, Purdy and Hudson Plant","Collins, Morissette and Maggio",TJ5BA5PFVM,2021-01-03,32884 BTU,45628 BTU,20.181530042573108,2028-07-03,2022-08-17,Active
1025,335,Rempel Group Plant,"Hayes, Price and Nitzsche",LSN7ZVESVN,2023-03-30,57810 BTU,56231 BTU,16.73620258556791,2028-03-01,2024-01-26,Active
1026,335,"Predovic, Luettgen and Johnson Plant",Schinner Group,C26GZGKJZG,2024-03-27,47702 BTU,50145 BTU,18.932230557306436,2027-02-04,2024-05-24,Active
1027,335,Hickle - Rempel Plant,Wilkinson - Roob,M5VQAWIWZF,2023-10-28,25047 BTU,58919 BTU,18.355802100508456,2028-08-08,2024-05-07,Active
1028,335,"Flatley, Blick and Heaney Plant",Crist Inc,Q5VHPDOQ8K,2021-08-02,43753 BTU,41365 BTU,19.80733641147487,2022-03-22,2023-03-27,Under Maintenance
1029,336,"West, Fritsch and Hayes Plant","Schultz, Hettinger and Okuneva",1Z4LQX6OUC,2022-08-01,28331 BTU,26775 BTU,20.53666680192306,2026-01-06,2023-02-16,Active
1030,336,Bogan - Williamson Plant,Dickinson Group,8SOEJ5UPU5,2024-08-26,47158 BTU,37711 BTU,19.632851967877155,2024-10-23,2024-09-04,Active
1031,336,Ferry - Bode Plant,Pacocha - Strosin,GETGJE0OQB,2022-03-16,57484 BTU,57967 BTU,15.51261981803276,2028-09-16,2023-06-11,Active
1032,336,"Von, Romaguera and Rohan Plant",Quigley Group,NXNGTYWX4Y,2024-07-31,39329 BTU,58554 BTU,19.56920308540865,2030-09-11,2024-08-05,Active
1033,336,Harvey - Grady Plant,Williamson - Ullrich,S68E8A7JOH,2020-11-17,25731 BTU,25201 BTU,19.9651269891752,2030-06-20,2021-01-28,Active
1034,337,Jaskolski Inc Plant,Becker - D'Amore,VVBXVCZM97,2024-04-10,37580 BTU,26113 BTU,16.59297305510207,2029-01-03,2024-05-22,Inactive
1035,337,Daniel LLC Plant,"Rempel, Ledner and Jast",AVSDVDAXB7,2023-10-10,30788 BTU,24680 BTU,14.734498966094513,2026-01-22,2024-04-05,Active
1036,338,"Wehner, Murray and Cole Plant",Weber LLC,AMVWJWVNFM,2022-03-27,27858 BTU,54690 BTU,20.585832997605408,2029-07-11,2022-04-23,Under Maintenance
1037,339,Fay and Sons Plant,Jaskolski Inc,H4X0SQFCVT,2023-03-30,42838 BTU,39035 BTU,18.85589417648538,2024-05-19,2024-07-29,Active
1038,339,Kozey - Sawayn Plant,Conroy - Langworth,WZQTGM6FCF,2020-11-09,55447 BTU,57498 BTU,14.713190717311427,2021-09-07,2024-08-31,Inactive
1039,339,Kertzmann - Lubowitz Plant,"Torphy, Balistreri and DuBuque",2NIMIM7ZX5,2023-08-30,43847 BTU,43531 BTU,19.212965661068473,2029-01-09,2024-02-19,Under Maintenance
1040,340,Mante - Brekke Plant,Kertzmann and Sons,0TPJJQR5ML,2023-06-03,29142 BTU,54361 BTU,13.002126542050199,2024-06-22,2024-08-02,Active
1041,340,"Williamson, O'Connell and Zboncak Plant",Reichel - Schmidt,HIRMNKXXZT,2024-03-20,27518 BTU,56380 BTU,17.84680516718101,2030-10-11,2024-07-11,Inactive
1042,340,Wuckert Group Plant,"Robel, Pouros and Blick",CTLUPGGWTF,2022-08-12,26715 BTU,48294 BTU,20.397334341680644,2022-12-20,2023-05-05,Under Maintenance
1043,340,Sawayn Inc Plant,Lehner and Sons,RCEGE3A4PK,2021-02-08,44084 BTU,48064 BTU,13.644950985882442,2025-02-20,2021-11-06,Active
1044,340,Armstrong Inc Plant,Effertz Inc,IDPWPYRSGS,2024-06-17,36155 BTU,54799 BTU,17.294861349776035,2030-01-04,2024-09-06,Under Maintenance
1045,341,Kautzer - Koelpin Plant,Conn and Sons,TBDZXZJWFS,2021-06-01,28742 BTU,46995 BTU,16.840575609800695,2030-04-04,2021-12-28,Inactive
1046,341,Swift - Heller Plant,Monahan - Schulist,AINWFWP2E8,2024-08-13,56037 BTU,45534 BTU,13.73324852072787,2026-12-29,2024-08-26,Inactive
1047,341,"Gerlach, Pfannerstill and Torp Plant",Jakubowski Inc,TX9D3NRTWE,2020-08-18,31576 BTU,28415 BTU,17.589040546314088,2026-01-28,2024-04-19,Under Maintenance
1048,342,"Herzog, Macejkovic and Hodkiewicz Plant",Miller - Lang,XAWCL2NFLW,2022-08-22,29953 BTU,39420 BTU,20.37676504553772,2025-09-12,2024-01-03,Active
1049,342,Swaniawski Group Plant,"Rogahn, Jacobs and Keebler",KMIYPRGYI6,2023-01-15,39764 BTU,46808 BTU,15.926324279365625,2028-05-14,2023-02-19,Under Maintenance
1050,342,Vandervort and Sons Plant,"Rohan, Robel and Reichert",9MOGHVFDKN,2020-09-07,27721 BTU,56755 BTU,13.706351715507047,2029-03-08,2023-08-29,Under Maintenance
1051,343,Sporer Group Plant,Doyle and Sons,5ZI8BFW2JP,2021-12-15,46806 BTU,56397 BTU,17.626583939672766,2029-08-07,2023-11-20,Inactive
1052,343,Hilll - Schinner Plant,"Goyette, Lehner and Mertz",6HNCSRWWEQ,2023-09-21,42955 BTU,50780 BTU,17.085486333891925,2025-04-01,2024-07-02,Inactive
1053,343,Bogisich Inc Plant,Graham - McDermott,BBAHGX60YZ,2021-06-13,27712 BTU,51072 BTU,15.54632888483118,2027-12-19,2023-04-24,Active
1054,344,Hermann Inc Plant,"Larson, Mohr and Keeling",FXONN21UQC,2021-12-09,42056 BTU,24460 BTU,16.59854133193028,2028-03-11,2022-07-10,Active
1055,344,"Pacocha, O'Kon and Oberbrunner Plant","Waelchi, Yundt and Spinka",RC2WFGNNIV,2024-02-28,31670 BTU,36409 BTU,13.043229219454147,2024-07-15,2024-07-31,Inactive
1056,344,"Stoltenberg, Luettgen and Walter Plant","Schmidt, Becker and Cruickshank",UGJ7KBWJ01,2023-04-26,36217 BTU,34875 BTU,16.817935934696404,2029-08-06,2023-09-03,Active
1057,344,Dietrich - Jaskolski Plant,"Luettgen, Simonis and Witting",IBFVD4NJUY,2024-01-31,25608 BTU,31040 BTU,19.89674335250321,2027-02-04,2024-09-08,Under Maintenance
1058,345,Goyette LLC Plant,Mosciski Inc,VBB0CXHEQE,2022-01-13,25912 BTU,28095 BTU,14.238487497375182,2022-09-28,2022-10-20,Active
1059,345,Emard Group Plant,Shanahan - Kub,ZFBL025S2A,2023-12-28,34422 BTU,38712 BTU,18.30239917260704,2028-09-06,2024-07-23,Inactive
1060,346,Roob - Cummerata Plant,Schuster and Sons,YUB6C60KE6,2020-03-20,33918 BTU,32380 BTU,13.691338240048582,2026-07-06,2020-06-08,Under Maintenance
1061,347,"Koss, Schamberger and Cole Plant",Kautzer - Howe,UTSDHT0WYT,2021-11-17,51060 BTU,36352 BTU,20.73450416577043,2029-10-04,2024-02-13,Under Maintenance
1062,347,Beahan - Lockman Plant,Brown and Sons,XHRMDQ3DJA,2020-09-18,24738 BTU,25001 BTU,20.571596515514553,2021-04-28,2022-03-21,Under Maintenance
1063,347,Shanahan Inc Plant,"Mills, Schmeler and Thompson",JXBSOU1MXG,2024-03-13,51398 BTU,39938 BTU,15.562395801633944,2029-05-20,2024-07-27,Active
1064,347,Reichel Inc Plant,Fadel - Schowalter,WKZJVTXUD4,2022-12-17,30044 BTU,50919 BTU,16.39105304643848,2023-06-29,2024-06-24,Under Maintenance
1065,347,Hahn Inc Plant,Bruen LLC,H1EHXEOM3M,2022-03-31,59955 BTU,36824 BTU,16.480393744868223,2026-04-29,2022-07-24,Under Maintenance
1066,348,"Rath, Smith and Grady Plant",Gleichner - Willms,ZWUNWYNNXU,2023-06-11,58009 BTU,27331 BTU,18.17970428023777,2030-01-15,2023-07-06,Active
1067,348,Kris - Kuhn Plant,"Spinka, Simonis and Kertzmann",ZHWLHNK5IE,2023-07-06,47953 BTU,47075 BTU,16.11691827890775,2030-12-12,2024-07-18,Active
1068,348,Mayert - Romaguera Plant,Kuhic LLC,KZMAF0WLCJ,2022-05-06,37623 BTU,50824 BTU,18.505924843728597,2030-11-25,2023-05-22,Inactive
1069,348,"Orn, Gorczany and Price Plant","Lebsack, Prosacco and Kunde",CFJJNIEMVJ,2023-02-08,54554 BTU,26354 BTU,17.58652790233309,2027-07-19,2024-06-10,Active
1070,348,Sawayn Inc Plant,Zulauf - Rath,OLV1GX1Z9M,2024-06-21,24514 BTU,48462 BTU,19.35405472523021,2026-11-19,2024-09-15,Active
1071,349,Sawayn LLC Plant,Walker Group,F1EOPK4DCJ,2020-08-18,39863 BTU,35075 BTU,16.69909173841897,2029-12-07,2023-12-21,Under Maintenance
1072,349,Hudson and Sons Plant,Doyle Inc,KWSPGPZHIW,2023-06-17,45188 BTU,31839 BTU,13.447303742852977,2030-10-07,2024-06-13,Active
1073,349,Becker Group Plant,Schmeler - Reichel,OGCAJWU6IM,2023-06-09,43357 BTU,26762 BTU,16.732482350459616,2030-08-13,2024-06-10,Inactive
1074,349,Green - Steuber Plant,"Bartell, Ondricka and Mertz",TJZKWZGGSH,2023-07-07,43432 BTU,26306 BTU,16.34850229451686,2026-07-02,2024-01-11,Under Maintenance
1075,349,Moore Group Plant,Bayer and Sons,A06N8UWOWB,2020-07-24,45796 BTU,32356 BTU,18.28018683838944,2028-12-21,2022-04-12,Active
1076,350,Rice - Gleichner Plant,"Orn, Bode and Hessel",04TE9IGYI5,2023-12-07,49951 BTU,57582 BTU,14.506280297771287,2030-10-21,2024-08-14,Inactive
1077,350,"Borer, Becker and Medhurst Plant",Torphy LLC,BA3PHE8K0R,2023-01-07,38644 BTU,54796 BTU,15.862597955237074,2025-09-13,2023-06-19,Active
1078,350,Johns LLC Plant,"Rath, Gorczany and Walter",XFEBDQ4OYD,2021-06-26,24376 BTU,52341 BTU,19.343632285814564,2025-03-20,2023-03-28,Active
1079,350,Borer - Koepp Plant,"Aufderhar, Schowalter and Crist",CZHHBITX7F,2020-07-06,36645 BTU,32654 BTU,14.43975968931601,2030-10-28,2022-12-16,Under Maintenance
1080,350,Schmitt Group Plant,Tromp Group,NF9WXJBCDD,2020-11-01,49605 BTU,39533 BTU,18.574136988378722,2028-06-28,2022-10-08,Active
1081,351,"Kreiger, Auer and Mueller Plant",Schmeler Inc,OWZBC6XSYX,2021-02-01,47980 BTU,27301 BTU,14.921955278918945,2028-02-05,2023-01-10,Under Maintenance
1082,352,"Langosh, Aufderhar and Kassulke Plant",Mayert - Satterfield,6AVO19IT0J,2023-10-03,36676 BTU,39261 BTU,15.246944793214164,2026-11-20,2024-08-12,Inactive
1083,352,Rath and Sons Plant,O'Hara - Glover,44GJU9GZIA,2023-02-26,45655 BTU,46831 BTU,17.718276734335483,2026-05-28,2024-06-08,Inactive
1084,353,"Rosenbaum, Mante and Lesch Plant",Herzog - Stracke,HAWULWKA96,2021-08-04,34529 BTU,27274 BTU,14.899713626756192,2025-05-19,2023-04-14,Under Maintenance
1085,353,Goodwin LLC Plant,"Moen, Littel and Pacocha",4YTTXMDV2Y,2023-04-28,59587 BTU,39751 BTU,13.552323235392713,2023-08-03,2024-03-06,Inactive
1086,353,Welch - Beahan Plant,Ortiz Group,1RBF6FFSJC,2022-07-29,25118 BTU,31264 BTU,20.890032297203827,2027-10-22,2022-10-26,Active
1087,354,Cremin - Littel Plant,Bergnaum - Schmeler,CDFWCUJ23D,2023-02-12,43190 BTU,35770 BTU,17.49632580362083,2024-04-16,2023-05-05,Under Maintenance
1088,354,"Schamberger, Marquardt and Bernhard Plant",Kirlin - Cartwright,PWAQM2ODSK,2021-01-26,38701 BTU,57615 BTU,14.23952131218643,2027-03-06,2023-02-22,Under Maintenance
1089,355,Kemmer Group Plant,Bashirian Inc,NREOULPAMM,2023-08-12,57489 BTU,54610 BTU,20.56307272688887,2029-02-18,2024-02-20,Under Maintenance
1090,355,Harris LLC Plant,Moen Inc,SYJSEIU8AS,2021-10-27,47538 BTU,25520 BTU,13.382832257104798,2030-07-02,2022-04-28,Under Maintenance
1091,355,Ferry Inc Plant,Buckridge - Yundt,H6RTQLYMOZ,2021-11-28,34154 BTU,56768 BTU,14.667011743972932,2025-10-13,2023-01-17,Under Maintenance
1092,355,Franecki Inc Plant,Shields and Sons,N7DELHCGYG,2021-06-18,25914 BTU,45389 BTU,18.66745619423537,2026-04-05,2023-07-28,Inactive
1093,355,Rolfson - Hickle Plant,"Lindgren, Steuber and Ortiz",Z0RXHCSDIF,2020-09-30,32117 BTU,37050 BTU,13.505596434994242,2022-10-17,2023-10-03,Inactive
1094,356,"Gleason, Gislason and Grady Plant","Emmerich, Wyman and Senger",76THH5X2ZJ,2023-03-16,26218 BTU,40318 BTU,18.684573576082823,2026-08-08,2023-05-13,Under Maintenance
1095,357,"Stark, McGlynn and Hamill Plant",Roob and Sons,YRFKXNABBW,2023-05-14,52391 BTU,47893 BTU,13.976333277315526,2024-01-11,2024-05-13,Inactive
1096,357,Robel LLC Plant,"Heidenreich, Lind and Dach",SGTFEDSIMD,2020-11-11,40187 BTU,43100 BTU,14.076862504508822,2030-07-25,2023-10-31,Under Maintenance
1097,357,Koss - Walter Plant,Kub - Pagac,LUQ1J5UCPQ,2020-10-02,50644 BTU,42545 BTU,20.079381108586553,2025-08-22,2022-03-03,Active
1098,357,O'Kon Inc Plant,"Spencer, White and Moen",GGMSNDI8V3,2022-08-15,28573 BTU,43916 BTU,13.820585030069472,2022-11-22,2023-12-26,Inactive
1099,357,Bode - Littel Plant,Lynch LLC,42W03VXAVX,2023-06-23,47461 BTU,40165 BTU,14.86946374395362,2026-12-10,2024-07-15,Inactive
1100,358,"Greenfelder, Littel and Reichel Plant",Legros - Effertz,PR9KVBYC3J,2024-03-18,39364 BTU,33144 BTU,16.90903074073507,2030-01-10,2024-07-06,Active
1101,358,"Vandervort, Conroy and Grimes Plant",Heidenreich Group,44A9I7SBC6,2022-03-27,42416 BTU,58126 BTU,17.553243386081405,2028-03-19,2022-08-19,Inactive
1102,358,Schinner LLC Plant,Leffler Inc,FZWYUBTBBJ,2021-06-21,46700 BTU,36570 BTU,14.432842316101933,2025-11-18,2024-08-30,Inactive
1103,358,"Bayer, Romaguera and Douglas Plant",Wisoky LLC,QFXIPAARRE,2021-06-01,33492 BTU,56695 BTU,18.401798685338253,2021-12-05,2023-01-24,Under Maintenance
1104,358,Tillman Group Plant,"Herman, Fisher and Jacobi",AKYMPT3LFK,2022-07-30,39115 BTU,56450 BTU,14.826348303128835,2028-02-18,2022-10-24,Under Maintenance
1105,359,"Medhurst, Emard and Stroman Plant",Green - Willms,RDMRZFNYKX,2020-05-19,27702 BTU,42014 BTU,20.18476387089339,2029-12-27,2023-08-27,Under Maintenance
1106,359,Huels Inc Plant,Stanton - Bode,KL81RSIYHI,2021-07-17,42680 BTU,33307 BTU,14.502081475460248,2027-10-29,2024-03-11,Active
1107,359,"Weber, Witting and Nienow Plant",Marks Group,UMJUDRNDF4,2024-04-09,49494 BTU,38412 BTU,13.28017843514842,2029-04-29,2024-06-08,Active
1108,360,Jast LLC Plant,Metz - Kunze,IU1CUYEBEI,2020-11-24,26325 BTU,54806 BTU,14.520912767590165,2021-12-03,2023-09-01,Inactive
1109,360,"White, Emmerich and Ernser Plant",Nicolas - Schowalter,VGPHIWXRTP,2024-02-03,54422 BTU,34094 BTU,19.615122236819538,2024-05-19,2024-08-18,Inactive
1110,360,Tremblay - Mraz Plant,Zieme - Wisoky,Q9FYFYC4TZ,2022-01-23,56931 BTU,37286 BTU,16.3348352466585,2026-06-23,2022-12-26,Under Maintenance
1111,360,"Raynor, Hyatt and Schumm Plant",Cummerata - Shields,NP3VFQ1KMY,2020-06-19,55893 BTU,35868 BTU,18.83096449399425,2030-09-24,2021-05-08,Active
1112,361,Gibson - Greenfelder Plant,Mertz Inc,NTBMZ6EA85,2023-12-21,38358 BTU,53341 BTU,20.402097322548947,2029-12-29,2024-03-06,Inactive
1113,362,"Crist, Daniel and Gislason Plant",Halvorson - Kling,CHPUI9C42Z,2024-04-30,26277 BTU,49178 BTU,17.327251742336074,2029-03-30,2024-05-21,Under Maintenance
1114,362,"Dicki, Green and Haley Plant",Schroeder Group,TL8LPCN6ML,2022-10-24,57375 BTU,41674 BTU,16.018346260386025,2030-05-20,2022-12-22,Active
1115,362,"Boehm, Kuhic and Crona Plant","Gorczany, Sawayn and Morissette",HA6PGBPFHL,2024-08-26,27532 BTU,56794 BTU,13.960582242284769,2030-10-20,2024-09-20,Active
1116,363,"Cormier, Daugherty and Skiles Plant",Smith and Sons,MKM0LKWHR3,2021-10-10,54565 BTU,58354 BTU,18.79483262855161,2029-05-03,2022-08-02,Inactive
1117,363,Krajcik - Halvorson Plant,"VonRueden, Auer and Frami",Y8RTG8TD8G,2022-03-29,53558 BTU,48340 BTU,19.148088188563953,2029-01-26,2022-10-08,Active
1118,364,Torp Group Plant,"Christiansen, Konopelski and Barrows",WTV7ZCU7NV,2022-09-09,45333 BTU,25163 BTU,15.54341141794065,2022-10-21,2023-12-24,Active
1119,364,Quitzon Group Plant,Considine - Cassin,SLPMXE5KBE,2024-04-21,45331 BTU,36584 BTU,17.396557299566553,2026-05-07,2024-09-16,Under Maintenance
1120,364,Stiedemann Group Plant,Vandervort - Yundt,LPN9AHXSDC,2020-06-08,27359 BTU,42618 BTU,15.93726195893457,2023-11-13,2020-09-24,Active
1121,364,"Zieme, Kris and Gutkowski Plant",Schuppe and Sons,QORNLUEGBZ,2020-10-18,43368 BTU,28162 BTU,16.235261278590293,2025-11-20,2024-06-22,Under Maintenance
1122,364,"Orn, Stracke and Hermann Plant",Kutch - Morar,1VVZ1HQBHN,2021-05-19,55919 BTU,59635 BTU,17.008522474440163,2023-02-25,2024-02-10,Active
1123,365,Balistreri - Ruecker Plant,Wiza - Glover,7HNZQPTAFW,2023-03-05,25308 BTU,34054 BTU,13.174148793358265,2028-04-23,2024-06-13,Inactive
1124,365,Cartwright and Sons Plant,"Olson, Kozey and Willms",PTNF0KUMT8,2022-07-11,29317 BTU,47461 BTU,15.78177871667534,2029-09-04,2022-12-12,Active
1125,365,"Steuber, Bechtelar and Gislason Plant",Heller Inc,01HJ4QBDDE,2024-04-11,37892 BTU,55715 BTU,14.36220733405722,2025-08-22,2024-06-04,Inactive
1126,366,Emmerich - Jakubowski Plant,Schmitt LLC,YENWRNBLHX,2021-02-12,40500 BTU,44235 BTU,20.169322379049383,2028-04-15,2023-08-17,Under Maintenance
1127,366,Rodriguez Group Plant,Wisoky - Sanford,MI3HL4GFTK,2024-03-17,48225 BTU,27206 BTU,14.45763543987507,2030-12-28,2024-04-20,Inactive
1128,366,Murazik - Ondricka Plant,Moen - Dicki,586P2BSAXN,2024-07-11,32668 BTU,34615 BTU,13.14246571101482,2030-07-31,2024-08-22,Active
1129,366,Connelly Group Plant,"Flatley, Streich and Bauch",S2T4AFERRC,2023-06-22,32212 BTU,57455 BTU,19.49098920728323,2025-04-21,2024-05-21,Under Maintenance
1130,367,Ryan - Rippin Plant,Bayer - Blick,64UPXTKO5N,2021-10-20,30353 BTU,28026 BTU,14.12028761906005,2023-06-17,2022-03-21,Inactive
1131,367,Nitzsche - Parker Plant,Langworth LLC,ZACEFQHT7L,2021-05-17,43070 BTU,58895 BTU,15.097510420916128,2024-04-22,2024-01-13,Under Maintenance
1132,367,Funk - Block Plant,Schmeler Inc,4G6OO4I1PR,2023-09-08,34764 BTU,43621 BTU,20.773980954563037,2028-07-14,2024-03-13,Active
1133,368,"Osinski, Feil and Greenfelder Plant",Jenkins - Jerde,0KAXNRTQAE,2020-10-20,57605 BTU,55167 BTU,15.625268634658266,2026-06-03,2020-11-01,Under Maintenance
1134,369,Kemmer and Sons Plant,Deckow Group,F7NO8BJPU2,2023-01-24,26148 BTU,59395 BTU,18.41031503129956,2024-03-15,2023-07-30,Inactive
1135,369,"Wuckert, VonRueden and Bergstrom Plant",Kiehn Group,XAAP6GT79H,2022-04-21,50386 BTU,40426 BTU,20.094993838801834,2028-02-10,2022-11-23,Inactive
1136,369,"Roob, Okuneva and Schroeder Plant",Kerluke - Koch,OGQCT56HHI,2021-10-05,38422 BTU,26734 BTU,14.599674145698039,2023-11-20,2024-02-18,Inactive
1137,369,"Hackett, Homenick and Feeney Plant",Ebert and Sons,DZYHNMFBHJ,2024-04-11,38124 BTU,34019 BTU,20.890229388214586,2030-05-02,2024-05-07,Active
1138,369,Koch - Schoen Plant,"MacGyver, Ferry and Brown",HDKQSAQQR5,2022-08-17,29144 BTU,55253 BTU,17.01834812660299,2029-05-18,2022-08-21,Active
1139,370,Lueilwitz - Prosacco Plant,"West, Graham and Torp",KMS7MXXAB6,2023-05-15,24533 BTU,47324 BTU,18.04630027582049,2028-03-26,2024-05-25,Active
1140,370,Breitenberg - Hettinger Plant,Lynch LLC,F8QMSCGWOV,2021-09-04,48910 BTU,48241 BTU,13.04126850416674,2030-04-13,2021-10-04,Under Maintenance
1141,370,Reilly LLC Plant,"Gibson, Fritsch and Ratke",Q1EZ8DVJ3N,2021-08-25,30676 BTU,39415 BTU,20.081281539025557,2025-08-02,2023-05-12,Under Maintenance
1142,371,Walsh - Denesik Plant,Hamill and Sons,YRHLPKKYN0,2023-09-21,24336 BTU,47857 BTU,15.34740013954436,2026-05-17,2024-06-06,Inactive
1143,371,Lueilwitz LLC Plant,Baumbach Group,NX16JAPLVY,2021-11-30,58707 BTU,30942 BTU,13.007176099361683,2026-01-31,2023-06-13,Inactive
1144,372,Kuvalis LLC Plant,"Ankunding, Bernier and Reilly",PYPYGC5B82,2021-01-17,24039 BTU,42980 BTU,20.38346882459505,2021-04-26,2021-12-04,Active
1145,372,"Heller, O'Connell and Pollich Plant",Ryan - Monahan,ORFK3KKOWZ,2021-06-28,58731 BTU,56898 BTU,14.945587943098566,2024-06-15,2021-12-12,Inactive
1146,372,Ortiz LLC Plant,Huel and Sons,DAVDFGK8TJ,2022-01-05,43669 BTU,31917 BTU,20.36353426534967,2027-05-07,2022-11-15,Under Maintenance
1147,372,"Schamberger, Kuphal and Kshlerin Plant",DuBuque LLC,ABS3ENQZ8C,2020-09-10,47206 BTU,48065 BTU,17.51057049692359,2027-06-17,2022-03-04,Under Maintenance
1148,373,"Turner, Purdy and Rolfson Plant","Ziemann, Quigley and Schaefer",TVCTTHL3KZ,2021-12-17,56052 BTU,41160 BTU,13.2860265776592,2024-01-19,2024-08-29,Under Maintenance
1149,373,Rowe Inc Plant,Morissette - Wiegand,WX20AA3SFM,2023-11-10,25572 BTU,44318 BTU,18.75104190475586,2025-01-02,2024-06-18,Active
1150,373,Beer - Bergstrom Plant,"Harber, Kirlin and Denesik",IOE3MJREEA,2021-06-08,59514 BTU,54831 BTU,14.717168688380955,2028-08-18,2024-03-24,Under Maintenance
1151,373,Conn - Fahey Plant,Wuckert Group,DDTMJNAC0U,2023-04-01,39916 BTU,58271 BTU,20.755802982511945,2026-11-23,2023-05-18,Under Maintenance
1152,374,"Considine, Kuhn and Dach Plant",Legros LLC,CPNKG8GITV,2020-12-03,39723 BTU,28749 BTU,16.787432925855704,2024-11-05,2022-07-07,Under Maintenance
1153,374,Bartoletti Inc Plant,"Hessel, Kreiger and Simonis",Y6F92AXE8Y,2024-06-13,42097 BTU,59067 BTU,18.95670266159841,2029-05-06,2024-06-22,Active
1154,375,Schuster - Cartwright Plant,Kuvalis - Marks,MHWSUQM0WX,2024-09-01,45413 BTU,49977 BTU,19.013076553748416,2027-02-11,2024-09-16,Inactive
1155,375,Berge Inc Plant,Schuppe LLC,D1YTXY1DMB,2023-12-29,52406 BTU,51329 BTU,19.8917166877517,2026-06-28,2024-06-01,Inactive
1156,375,Prosacco and Sons Plant,Hermiston - Corwin,1UVZ9TKXTT,2022-07-11,52053 BTU,36015 BTU,13.092338821410078,2029-12-11,2023-03-08,Active
1157,376,"Marvin, Kris and Klein Plant",Walter and Sons,T902XMWFWH,2020-12-23,33757 BTU,51433 BTU,17.307857073175498,2023-11-16,2023-09-26,Inactive
1158,376,Weimann - Aufderhar Plant,Bruen - Carter,PV2MUTL9K8,2024-07-02,26818 BTU,33086 BTU,16.712686577328377,2026-03-16,2024-08-31,Under Maintenance
1159,376,Conn Group Plant,Gerhold - Monahan,U37HPOAR7N,2023-02-14,59675 BTU,59922 BTU,14.079926383684693,2028-09-27,2024-04-29,Under Maintenance
1160,376,Tromp Inc Plant,Medhurst - Sanford,MVBMQR0Z0Y,2021-05-27,41042 BTU,57375 BTU,14.918510262490233,2030-10-30,2024-02-19,Inactive
1161,376,Glover LLC Plant,"Lind, Ryan and Rodriguez",FYHAWOIEWE,2021-10-01,57949 BTU,51144 BTU,15.238027742530813,2025-12-11,2024-04-30,Active
1162,377,Konopelski Group Plant,Feest - Haley,3YQ7OZCLVM,2022-05-14,57535 BTU,33670 BTU,16.24668580670148,2024-12-11,2023-01-20,Under Maintenance
1163,377,Abbott - Ward Plant,Volkman - Moen,1CJUZXSYDU,2020-02-10,44339 BTU,30780 BTU,17.99292580545265,2025-08-27,2023-04-19,Under Maintenance
1164,377,"Johnston, Mertz and Schmidt Plant",Stiedemann and Sons,TGZYRSPINF,2020-07-29,32258 BTU,34150 BTU,17.415641935021853,2023-03-14,2024-05-22,Active
1165,377,Smith - Lemke Plant,"Lynch, Wintheiser and Green",MTGET3P1LE,2023-02-15,28587 BTU,53610 BTU,20.81684118614915,2029-08-29,2023-07-13,Under Maintenance
1166,378,"Hayes, Cormier and Gislason Plant",Mueller - Hahn,FCYEMW6ZVT,2021-04-21,30989 BTU,48281 BTU,19.61808390371119,2025-07-02,2022-02-26,Under Maintenance
