request_id,customer_id,equipment_id,request_date,description,priority,status,assigned_technician
1925,655,5214,2024-03-22,Vapulus vesper denuo trucido voluptatibus careo autem caritas.,High,In Progress,28
1926,655,414,2023-04-14,Deserunt supplanto solitudo chirographum asper corrupti dolor urbs cibo.,Emergency,Open,48
1927,655,801,2022-06-17,Officiis acidus tabgo cunae utique tibi.,High,Open,10
1928,656,269,2024-01-24,Deprecator curatio angustus admiratio.,Low,In Progress,23
1929,656,533,2021-10-02,Sustineo advenio aspernatur trans talis cultellus rerum curia.,High,In Progress,24
1930,657,1410,2024-02-05,Pecto cursim tui thymbra tempus corona cursus alveus.,Medium,In Progress,50
1931,657,1985,2022-07-03,Aspicio turbo curto acsi cribro.,High,Open,21
1932,657,279,2021-07-28,Desino curiositas spero.,Medium,Open,10
1933,657,4974,2021-11-24,Corona aurum deduco cohibeo asperiores.,High,Open,29
1934,659,6602,2024-06-04,Provident demens consectetur cubitum solum voro antepono.,Medium,Open,35
1935,659,4190,2024-06-07,Vigilo compono cuppedia decerno absens provident alo ulciscor arca alveus.,Medium,In Progress,28
1936,659,6229,2024-07-29,Crapula vinum abutor vulnero bestia facilis ocer similique corrumpo vulariter.,Emergency,Open,5
1937,659,2801,2024-09-19,Paulatim occaecati ambitus admiratio alii arca arx.,Low,In Progress,9
1938,660,3144,2023-06-29,Veniam dolorem centum deludo.,Low,In Progress,7
1939,660,6421,2024-08-26,Commemoro cauda adipiscor abeo.,Emergency,In Progress,49
1940,662,5849,2021-07-05,Stultus cado vilitas error atavus solus curvo debilito dolores.,Medium,In Progress,33
1941,662,1097,2023-11-21,Officia torrens provident terebro.,Emergency,Open,8
1942,662,6599,2023-07-01,Valde cupressus curatio adnuo beatae vicinus apto repellendus maxime.,High,Closed,5
1943,662,337,2024-07-12,Commodi necessitatibus degero compello.,High,Open,6
1944,663,6301,2024-05-08,Eius cariosus ter pel carbo.,Emergency,In Progress,39
1945,663,2395,2024-06-10,Vae rerum defleo aveho bestia virtus trepide tui depereo.,Emergency,Closed,38
1946,663,880,2024-09-13,Cupiditas tam convoco ratione absens illum combibo at sub.,Low,Open,36
1947,663,109,2023-05-15,Titulus cedo spiculum celebrer atavus.,Emergency,Open,17
1948,663,4347,2024-04-27,Clementia ex astrum totidem suffoco campana cauda ullam.,Emergency,Open,10
1949,663,226,2024-05-23,Bellicus aggero arx conduco tribuo videlicet somnus vorago.,Medium,In Progress,32
1950,663,5888,2024-08-30,Chirographum acies claro armarium arma aestivus talio.,Emergency,Open,24
1951,664,3676,2024-05-31,Atqui conatus atque.,Medium,In Progress,32
1952,664,684,2024-08-09,Conatus usus voluptas tenus modi corpus deinde.,Medium,In Progress,8
1953,664,203,2023-01-25,Repudiandae utique arcesso angelus est conduco est capillus.,Medium,Closed,29
1954,665,3526,2021-11-13,Video fugiat venia.,Low,Closed,7
1955,665,4494,2021-06-23,Subnecto colligo suasoria.,Low,In Progress,25
1956,665,2829,2022-06-12,Beatus utrum considero tabgo molestiae confero adsidue adipisci minima.,Low,Closed,14
1957,665,1540,2024-09-16,Video stella thesaurus pecco.,Low,Closed,1
1958,666,2440,2024-08-02,Vomito voluptatibus excepturi dolorem vestrum vulpes auctus deporto dolor quis.,Low,Closed,7
1959,666,3088,2024-07-15,Uberrime statim paulatim.,Medium,Closed,47
1960,666,955,2024-08-17,Colligo adamo bis defaeco aeternus carmen utroque.,Emergency,Open,22
1961,666,3526,2024-06-17,Aeternus pauci vetus.,Emergency,Open,22
1962,667,5888,2024-07-20,Deserunt cenaculum amor curso tubineus.,Medium,Closed,9
1963,667,2660,2024-07-13,Deduco acerbitas avaritia vigilo vae spero cubitum decimus.,Emergency,Closed,29
1964,667,4134,2023-02-15,Succurro amitto et concido trucido.,Emergency,Closed,16
1965,667,6455,2022-01-11,Succurro ubi aranea deripio quam solitudo.,High,In Progress,38
1966,667,3677,2024-04-11,Deludo defaeco abscido comprehendo sollers assumenda demens tepesco denego.,Low,Open,19
1967,667,6100,2024-01-05,Commodo iure tendo contego amplitudo coniuratio amicitia casus.,Emergency,Open,7
1968,668,5508,2021-04-21,Adhuc temeritas candidus bibo caput unde.,Emergency,Open,47
1969,668,395,2023-08-06,Subvenio architecto crapula suus conspergo contra.,High,Open,19
1970,668,5233,2024-03-31,Ambulo vesica curtus vulgus ipsum.,Medium,In Progress,33
1971,668,6471,2024-08-29,Demergo pectus cibo trado velit auxilium crux solus.,Medium,In Progress,47
1972,668,3443,2023-09-26,Adulatio carpo caterva talus crebro summopere tabella claudeo amplus utroque.,High,Closed,28
1973,668,10,2024-05-22,Tabgo alioqui ambitus aspicio audentia adsum ancilla curtus.,Low,Closed,27
1974,668,644,2024-04-27,Vir aggredior adipiscor provident nobis delectatio confero barba aspernatur.,Medium,Closed,23
1975,669,2919,2023-05-02,Decimus complectus caelum utroque depulso animi.,High,In Progress,32
1976,669,2943,2024-04-20,Timidus curo comptus tabgo bellicus adstringo.,Medium,Open,9
1977,669,6494,2020-11-22,Eveniet repudiandae auctus.,Medium,In Progress,19
1978,669,4127,2024-03-30,Nisi curiositas cursus ter aggero dapifer vaco corporis appello.,Low,In Progress,5
1979,669,533,2021-09-17,Toties consuasor cilicium bis dolor blanditiis adopto provident apud vulgivagus.,Low,Closed,25
1980,670,4357,2022-07-20,Combibo adeptio magnam cornu atrocitas sunt arto defleo comis deserunt.,Emergency,Closed,42
1981,670,2187,2024-07-11,Nobis compello creptio coadunatio deserunt.,High,In Progress,23
1982,670,5157,2021-01-15,Voluptates depromo amaritudo celo tibi corona.,High,Closed,28
1983,670,2988,2024-03-07,Crastinus aro vestigium suspendo ventus ipsa crudelis talio virgo peccatus.,High,Closed,11
1984,670,2008,2024-01-31,Bestia repudiandae ter ustilo desparatus audeo corrumpo adinventitias distinctio carcer.,High,In Progress,31
1985,671,488,2023-11-13,Cilicium caput laudantium aedificium stips creator deduco.,High,Closed,38
1986,672,2354,2023-11-11,Astrum texo claustrum stipes.,Emergency,Closed,15
1987,672,3897,2024-08-27,Asporto vorax bene texo viriliter canto calco porro.,Medium,Closed,44
1988,672,1117,2023-10-18,Et basium conqueror apparatus studio vinitor absconditus uter conor.,Medium,Open,18
1989,673,6408,2024-05-30,Adipisci esse sursum.,Emergency,Closed,15
1990,673,2151,2024-07-05,Usus abundans doloremque delinquo.,High,Open,18
1991,674,6382,2024-01-09,Tempore nostrum aspernatur textus.,Low,Open,40
1992,674,231,2024-08-05,Cupio suffragium color constans arceo quibusdam conturbo auctus.,High,Open,21
1993,674,667,2024-07-16,Super aurum strues velum.,Medium,In Progress,11
1994,675,5690,2022-12-09,Tremo aequitas super consectetur suffragium decerno averto.,Low,Closed,30
1995,675,2020,2023-07-12,Voluptates villa bibo currus alveus veniam derideo ullam argumentum.,Medium,Closed,48
1996,676,263,2022-03-11,Contra sequi cuius texo.,Medium,In Progress,16
1997,678,1678,2024-06-11,Argumentum deinde vicinus voluptate vulgo avaritia.,Low,Open,2
1998,678,3604,2024-05-18,Tametsi somniculosus subseco subvenio decipio supra unde.,Emergency,Open,14
1999,678,2869,2024-08-10,Comptus creber atque defessus apparatus copia cura.,High,In Progress,18
2000,678,6221,2024-03-27,Volo sumo vobis laborum adicio appositus.,Medium,Closed,10
2001,680,1240,2024-04-20,Campana bis conatus sursum veritas abeo atavus.,Medium,Open,16
2002,680,3022,2024-07-20,Subnecto spectaculum cruciamentum dedecor tenetur corona vulpes.,Emergency,Open,36
2003,680,4085,2023-11-21,Arceo appono celer chirographum creo succurro volva tardus sordeo.,Medium,Closed,30
2004,681,6903,2024-05-04,Aiunt adfectus dolore consequatur stips coerceo vomica coniecto.,High,Open,28
2005,681,2253,2024-05-20,Peior tutamen verus cenaculum capillus aut audentia.,Low,Closed,42
2006,683,650,2022-12-30,Iusto compello stella valde.,Medium,Closed,42
2007,684,287,2022-11-03,Tutamen coniecto pecco viridis vetus vere conventus campana torrens.,Emergency,Open,10
2008,685,452,2023-01-31,Verecundia somniculosus tamen vero odio adipisci concedo balbus.,Low,Open,28
2009,685,5367,2023-07-20,Virgo bos virtus.,High,Open,46
2010,685,5607,2024-07-11,Alveus doloremque cito considero coerceo.,High,Closed,18
2011,685,1852,2021-05-20,Vestigium crastinus arceo voluptate adfectus consectetur theca.,Low,Open,16
2012,685,4726,2022-10-19,Color doloremque celer arceo quae derideo.,Medium,Open,38
2013,686,2877,2022-10-25,Virgo suffoco versus.,Emergency,In Progress,12
2014,686,2,2022-07-22,Turbo impedit adhuc comptus vigilo.,Medium,Open,21
2015,686,4291,2022-07-14,Consuasor decor vos vilitas recusandae deduco tepidus vomer tempora delego.,Medium,Open,25
2016,687,4514,2024-04-28,Bellum catena vilitas atrocitas.,Low,Closed,31
2017,687,3992,2023-08-02,Caelestis amplexus cavus.,Medium,Open,13
2018,687,1347,2023-08-16,Tenus tergeo sulum tendo sustineo.,Low,Closed,4
2019,687,2626,2024-02-12,Vulnus pecto comis nemo stips cetera vinco abeo appono adulatio.,Low,Closed,40
2020,688,5940,2023-09-03,Antea vorago vinco.,Low,Closed,42
2021,688,4136,2022-01-24,Inflammatio caterva tamquam decerno illo solio cotidie absque odit stabilis.,Medium,Open,22
2022,689,5142,2024-08-24,Omnis est quam testimonium alienus vinco.,High,Open,8
2023,689,3502,2024-09-10,Voluptates talio custodia articulus sufficio.,High,In Progress,28
2024,689,2698,2024-07-07,Adaugeo brevis viscus.,Low,Open,18
2025,689,4762,2022-07-31,Vulnus confero conitor turbo arceo corrigo tantum placeat magnam.,Medium,In Progress,24
2026,689,172,2024-02-01,Delibero vel pauper.,Emergency,Open,4
2027,689,6008,2020-10-11,Optio nostrum crastinus error pauper.,Emergency,Closed,10
2028,690,4289,2022-06-28,Trado adopto possimus.,Low,Closed,19
2029,690,2103,2022-03-12,Bardus altus calamitas dolor clarus cupiditate debilito volup deleniti apparatus.,High,In Progress,50
2030,690,6574,2024-07-10,Nobis audacia denuo capitulus uxor combibo aufero sursum demitto.,Low,Open,44
2031,690,620,2024-09-10,Defaeco derideo strues ea bibo avaritia.,High,In Progress,8
2032,690,7056,2024-07-08,Tergum derelinquo cenaculum perferendis.,Low,In Progress,14
2033,690,5685,2023-05-31,Accedo cometes ubi totus turba cavus vetus.,Low,Closed,4
2034,691,5431,2022-10-14,Abduco video aro trepide arbitro advoco crustulum.,Low,In Progress,3
2035,691,6530,2024-09-09,Ciminatio crastinus patria acsi vitium chirographum.,Low,Closed,44
2036,691,441,2024-08-22,Caveo video autus patria sortitus.,High,Closed,21
2037,691,399,2024-08-08,Vacuus carbo cernuus vestrum.,Medium,Open,27
2038,692,4782,2024-08-26,Fugiat cubo victoria.,Low,Closed,19
2039,692,6074,2024-09-02,Textus credo a cur utrimque urbs ex.,Low,Closed,11
2040,693,1010,2024-04-21,Tubineus carmen possimus caput defero eius.,Emergency,In Progress,8
2041,693,5013,2024-01-01,Demoror nemo tonsor adopto dolorum.,Low,Open,30
2042,693,6702,2024-06-25,Laudantium aequitas utroque advenio.,High,In Progress,40
2043,694,4724,2021-08-26,Beatus vulpes aggero conduco accusator abbas speculum.,High,Closed,9
2044,694,1507,2024-04-11,Autus depraedor vorax vivo adopto cotidie minus.,High,Open,50
2045,694,2969,2021-08-03,Aperte crastinus ascisco defero.,Emergency,Closed,50
2046,694,6083,2024-05-10,Talio vinitor sequi reiciendis nostrum urbs.,Low,Closed,31
2047,694,4059,2023-12-16,Cognomen magnam pauci trepide.,High,In Progress,20
2048,694,3674,2021-01-24,Attero peior sunt maiores tunc ustilo accommodo advenio contigo adversus.,High,In Progress,45
2049,694,1847,2023-05-12,Cornu inflammatio solum caste autem.,Medium,Closed,4
2050,694,6535,2023-03-06,Aut infit colo temeritas.,Emergency,Open,9
2051,695,2547,2023-07-13,Velit pel vulgivagus.,High,Closed,23
2052,696,191,2024-07-10,Dignissimos cupio arcesso calamitas vester tergum bos ullam stips tenus.,Low,Closed,30
2053,697,563,2022-09-19,Atrox toties tergum viriliter voluptatibus deprecator angulus umerus.,Emergency,Closed,36
2054,698,3120,2022-05-10,At arcus cornu averto catena.,High,Closed,21
2055,698,6587,2024-05-19,Cognatus torqueo soleo officiis.,Low,Closed,35
2056,698,2157,2024-05-23,Adulescens commodo vilicus vado.,Low,Open,32
2057,699,373,2023-08-05,Creo complectus thermae cilicium traho tonsor.,Emergency,In Progress,16
2058,699,1781,2023-05-19,Approbo copiose dens curso allatus a.,Emergency,Open,4
2059,700,6082,2021-11-14,Ulterius carpo addo centum antepono attonbitus vado adfectus.,Emergency,Open,7
2060,700,4771,2022-12-22,Cruciamentum vos tot dolores.,Low,Open,50
2061,700,3038,2022-11-20,Cum summisse eius cubicularis demergo audeo vigor strues.,Medium,Open,17
2062,701,3475,2024-08-15,Complectus pecto vis suscipio.,High,Closed,42
2063,701,3406,2024-09-22,Error nobis triumphus conculco neque accedo.,Medium,In Progress,22
2064,701,4277,2024-08-30,Ait una arma tremo texo.,Low,Open,34
2065,702,6733,2024-07-22,Temporibus vado cuius sub theatrum spiculum libero turbo.,Emergency,Open,50
2066,702,6988,2024-09-19,Labore comes dicta spes addo.,Emergency,In Progress,16
2067,702,389,2024-09-12,Villa claudeo tamisium victoria titulus tametsi stipes temperantia.,Emergency,Closed,47
2068,703,5243,2024-08-19,Adversus candidus carpo concido synagoga unus utroque.,Low,Closed,23
2069,703,1535,2023-01-27,Solvo altus amplus tabella voco amicitia subnecto.,Emergency,In Progress,16
2070,703,4718,2023-10-08,Audeo charisma tremo creator placeat celebrer alo aetas quos.,High,Open,3
2071,704,7101,2021-05-20,Conturbo animi defaeco conventus dedecor.,Low,Open,44
2072,704,6019,2021-11-01,Virgo dolor contigo delego asper uxor.,Medium,In Progress,35
2073,704,5748,2021-08-19,Vindico cohors dolores cupiditas.,Low,Open,41
2074,705,5312,2023-12-18,Cito utrimque validus vilitas spiculum aetas triduana.,Low,Open,40
2075,706,6992,2023-08-05,Deserunt atavus casso attollo umerus cruentus alveus.,Emergency,Open,42
2076,708,3404,2022-07-16,Aufero absque sortitus cauda.,High,Open,32
2077,708,7317,2021-12-29,Admoneo amor non adhuc suspendo.,Low,Open,2
2078,709,1827,2024-02-15,Curiositas contabesco traho teres tui adeo animus consuasor.,Low,Closed,18
2079,709,2587,2024-01-31,Credo suppellex abscido calamitas.,Low,In Progress,31
2080,710,4099,2024-06-23,Vesper utrum studio centum vociferor varietas fugiat calcar.,High,Closed,30
2081,710,5370,2023-09-04,Territo canonicus talis vergo torqueo templum vulnus urbs.,Emergency,Closed,23
2082,712,3097,2021-03-12,Defluo amplexus admoveo aer bene adiuvo patruus.,Emergency,Closed,36
2083,712,3516,2024-01-12,Coaegresco coniecto dolorum.,Emergency,Open,45
2084,713,4422,2023-07-27,Tergeo quae alo dedecor adinventitias.,Medium,In Progress,50
2085,713,6095,2023-01-22,Illo cibo dapifer exercitationem delego cognatus aureus conqueror aurum.,Emergency,Open,30
2086,713,6501,2024-04-22,Caute tenuis celo damnatio amor tamisium curiositas.,Low,In Progress,21
2087,713,4851,2024-03-05,Quidem spes verus vallum ait.,Low,Closed,33
2088,713,162,2024-03-04,Suffoco cras vindico acer.,Emergency,In Progress,2
2089,714,2194,2024-09-09,Decet veritatis comitatus trepide vero claro deripio abstergo.,Low,In Progress,3
2090,714,3293,2022-07-07,Ascit asperiores ducimus subseco vulnero taceo.,High,Open,38
2091,714,473,2022-01-05,Adsidue vinum praesentium ulciscor cumque degusto.,High,Open,4
2092,714,6361,2021-03-18,Pauper praesentium iste undique.,High,Closed,34
2093,715,3002,2024-09-10,Venia denique casso paens cado caries explicabo.,Medium,In Progress,10
2094,715,5918,2023-08-12,Coniecto repudiandae desino atrocitas sint thalassinus esse adhaero.,High,Closed,25
2095,715,1951,2022-07-13,Auctus dicta sumptus amissio videlicet.,Emergency,Open,5
2096,715,3821,2023-08-14,Omnis subvenio temeritas victoria victoria.,Emergency,In Progress,20
2097,715,3760,2023-07-31,Teres clementia vel curatio ventosus deripio ullus damnatio subseco.,Emergency,In Progress,46
2098,715,1529,2024-08-21,Advenio ratione crux ventus peccatus tametsi vitium succedo admoneo.,Low,Closed,34
2099,715,6149,2024-07-31,Delego abscido delibero verus vesco carbo sed.,Emergency,Open,30
2100,716,3245,2024-02-17,Ademptio verbera contra compello chirographum vinco incidunt usus tabesco.,High,In Progress,13
2101,716,842,2023-04-20,Facere coadunatio tergum vulticulus angustus vulariter reprehenderit adnuo.,Emergency,Open,22
2102,716,457,2024-04-07,Censura deduco textus auctus angelus avarus aliquam.,Medium,In Progress,38
2103,716,5140,2023-08-16,Reprehenderit tabesco arcus ut stipes suggero cogo undique abeo substantia.,High,In Progress,40
2104,717,3333,2023-01-19,Cursim nobis cenaculum triduana valens thalassinus capitulus.,Low,In Progress,37
2105,718,3787,2024-05-21,Supra vilitas argentum auctor trepide theatrum corporis arca versus.,Emergency,Open,1
2106,718,3197,2024-02-28,Mollitia confugo tardus comprehendo universe clamo.,Low,Closed,25
2107,718,3387,2024-01-14,Comptus amo officiis corporis cultellus tenus porro nobis desidero.,High,Closed,6
2108,718,1105,2024-03-18,Spoliatio titulus versus carpo veritatis arbustum.,Medium,Closed,41
2109,718,1624,2023-08-11,Tardus somniculosus caveo solus audentia cum audio stultus decimus.,High,Open,25
2110,719,4620,2021-08-11,Arx minima tres subnecto alias testimonium cerno.,Medium,Closed,22
2111,720,7059,2022-07-07,Odio pel censura anser conspergo venia vita vestigium.,Low,Open,30
2112,720,3336,2023-12-16,Agnitio casus alii delicate.,Medium,Closed,40
2113,720,3415,2024-03-14,Tristis auxilium quia tertius depono.,Medium,Open,27
2114,720,2719,2022-11-27,Cicuta creo depono cimentarius incidunt thesis thermae accusator vetus.,Medium,In Progress,37
2115,721,1854,2024-09-03,Crustulum tempora maiores aestas vergo cognatus modi arbitro vae.,Low,Closed,44
2116,721,3056,2022-12-26,Titulus capillus deprimo alias tenuis saepe alo debitis ante.,Emergency,In Progress,26
2117,721,6755,2023-09-23,Denego barba stella ustilo.,Medium,In Progress,49
2118,722,4393,2024-01-17,Tolero cena coma calamitas.,High,In Progress,19
2119,722,6118,2023-05-07,Vereor theca ventosus.,High,In Progress,41
2120,722,4524,2023-07-21,Allatus vix laboriosam voluptate volubilis vergo tandem venustas suffragium.,High,Closed,31
2121,722,7091,2023-12-31,Despecto vulgus catena.,Emergency,Open,43
2122,723,4975,2024-06-25,Vallum brevis sint.,Low,In Progress,1
2123,723,4080,2024-08-08,Censura aeternus vacuus aveho.,Medium,In Progress,45
2124,723,7211,2024-06-29,Eos vitiosus utor capillus.,Medium,Open,11
2125,723,6009,2023-07-31,Adsum bonus vesper alioqui tum terra coniuratio comburo.,Medium,Open,46
2126,723,3505,2024-09-10,Corrigo delectatio sto.,Low,Closed,1
2127,723,2920,2023-09-29,Cerno approbo aequus velit exercitationem aqua tutamen deserunt.,Medium,Closed,38
2128,724,4748,2023-01-21,Depraedor voluntarius peccatus arbitro unus atrocitas deleniti vulticulus cerno.,Medium,Open,21
2129,724,6587,2024-05-01,Tyrannus tener crinis talio aranea ater tutamen qui stella.,Medium,In Progress,23
2130,724,6887,2024-07-24,Amoveo trans theologus tego ipsam amor truculenter.,High,Closed,40
2131,724,4395,2023-04-28,Tepesco unde suppellex vereor vester.,High,Closed,23
2132,725,2300,2021-05-30,Tabula trans minus valde antea strues decens ancilla.,Low,Open,23
2133,725,6021,2021-11-21,Volubilis utrimque utpote tam aetas ascit nulla solus.,Low,Open,27
2134,726,7042,2023-09-14,Cruciamentum triduana ipsam quibusdam vulnero impedit aranea abeo auxilium.,Low,Closed,11
2135,726,1089,2022-10-29,Debilito corpus arma.,Medium,In Progress,46
2136,726,6796,2023-08-10,Cursim eos aduro versus substantia bene vel assentator corrigo.,Emergency,Open,4
2137,726,6008,2022-05-05,Derideo peccatus thymum subito.,Low,Open,27
2138,726,7159,2020-10-04,Demulceo mollitia canonicus vulgivagus expedita repellendus cum absum trado uterque.,High,Open,27
2139,727,6042,2024-07-07,Iste cavus somniculosus.,Low,Closed,18
2140,727,4869,2024-07-27,Arma adamo vae cursim terga.,High,In Progress,42
2141,729,881,2024-07-03,Arcus timidus aspernatur aeternus thesaurus temeritas adulescens nisi.,High,Closed,7
2142,729,5704,2024-08-28,Depromo speciosus cunabula statua calco.,Medium,Closed,18
2143,729,4905,2024-07-22,Aegrotatio trucido undique.,Emergency,In Progress,27
2144,729,5692,2021-06-29,Cimentarius sublime supellex curo quisquam dapifer summa vinco carcer thema.,Medium,Closed,28
2145,729,3245,2022-06-30,Voco sit umbra audio soleo.,Low,In Progress,10
2146,729,6713,2022-05-13,Theatrum suspendo esse reiciendis.,Emergency,In Progress,44
2147,729,3248,2021-12-22,Consectetur brevis subiungo sumo vigilo comis vaco.,Emergency,In Progress,1
2148,729,1349,2023-03-05,Argumentum territo benigne confero.,Emergency,In Progress,22
2149,730,5696,2024-08-01,Cognomen vero illum cursus damnatio adeo fugit vacuus.,Low,In Progress,29
2150,730,976,2023-05-08,Territo aperio derelinquo.,Low,Open,29
2151,730,455,2023-04-12,Congregatio atque stillicidium utpote quis antiquus cognomen alias quae.,Low,Closed,22
2152,732,1205,2023-10-27,Curtus illo arbor acidus victus unde curtus coerceo est corpus.,Medium,Closed,18
2153,733,1829,2023-11-17,Alius denuo centum vindico vulnus corporis carbo uxor baiulus.,Medium,Closed,9
2154,733,6357,2023-12-31,Corona attollo numquam.,High,Closed,6
2155,733,5240,2024-07-27,Quibusdam ter aranea aequitas.,Low,Closed,3
2156,734,4429,2024-08-22,Vespillo conor autus admitto vespillo conspergo ulciscor aurum vinculum.,Medium,Closed,29
2157,734,5672,2024-09-23,Aegrus amplitudo caput decimus synagoga viduo quas.,High,Open,5
2158,734,7291,2024-09-23,Concido aegrus tepesco administratio ustulo texo.,Medium,Open,31
2159,734,2921,2024-05-01,Verbum addo beatae cariosus laborum.,Emergency,Closed,31
2160,734,4729,2022-03-14,Votum cultellus vinco id demonstro tendo utrum curiositas.,Low,Open,11
2161,735,6355,2024-04-18,Videlicet supellex illum vindico valetudo conatus viscus et terga abeo.,Emergency,In Progress,49
2162,735,263,2022-01-10,Vulnero rerum thymbra corona tribuo sustineo cibo demulceo sol bene.,High,Closed,30
2163,736,966,2024-05-18,Ut cibo volutabrum varius comprehendo quo.,High,In Progress,5
2164,736,834,2020-07-11,Unde cubitum demens summisse carpo exercitationem turbo carcer.,High,Open,33
2165,736,6779,2024-01-28,Suscipit tollo bos amoveo tener doloribus constans adsum.,Low,Closed,44
2166,736,5421,2023-01-09,Trans illo curiositas vivo decet abscido autus qui carcer.,Low,Closed,17
2167,737,1237,2022-08-07,Deludo arguo nam cohibeo copia aequitas coniuratio ventosus taedium.,High,Open,13
2168,737,3062,2022-07-30,Ancilla triduana quidem ustilo basium.,Medium,Open,36
2169,737,234,2023-06-27,Celer accendo comedo.,High,In Progress,34
2170,737,6027,2020-07-28,Certe verbera somnus viridis minima tergeo modi vestrum.,Emergency,Open,22
2171,737,3531,2024-03-11,Cado trucido cura tyrannus denique.,Medium,Closed,14
2172,737,499,2023-03-27,Colligo valde veritas dapifer vomica.,Emergency,In Progress,44
2173,738,248,2024-08-15,Cras sordeo umerus adsum.,Low,Open,40
2174,738,2895,2023-07-11,Usus suggero adeptio debilito articulus voveo templum vilitas sordeo depopulo.,High,In Progress,29
2175,739,4640,2020-08-31,Ustilo vae vinitor audacia consuasor tres aer solum.,Medium,Open,47
2176,740,5039,2024-07-02,Degenero veniam cubitum defleo solum trado nesciunt coadunatio.,Low,In Progress,19
2177,740,1233,2024-06-23,Tepidus patruus tunc sperno.,Medium,In Progress,40
2178,740,58,2023-07-01,Aspernatur contigo vehemens inflammatio bestia.,High,Open,33
2179,740,6640,2023-02-10,Cultura nostrum accendo appositus vinculum voluptates.,High,Closed,29
2180,742,6142,2022-12-03,Adfero facilis curatio talio dapifer.,Emergency,Open,6
2181,742,5861,2024-08-16,Verto deprimo cunctatio ipsam cultura apud aeternus.,High,Open,15
2182,742,2799,2024-05-24,Claro numquam temporibus thalassinus acies enim vos demens textor comedo.,Low,Closed,20
2183,742,4604,2024-02-22,Adicio adulescens at crinis spoliatio audax corroboro demoror.,High,In Progress,28
2184,743,6516,2023-11-04,At umquam pariatur casso.,High,Open,48
2185,743,4036,2024-06-18,Adfero xiphias conforto ex.,Low,In Progress,29
2186,743,1786,2023-11-05,Vicinus sulum vorago pax angelus sollicito colo texo addo aro.,Medium,Closed,47
2187,744,3467,2023-07-22,Nihil truculenter turpis cogito.,Low,Closed,23
2188,744,5187,2023-10-26,Copia desipio amiculum corrupti temeritas aggero conventus.,Medium,Open,10
2189,745,4930,2021-11-09,Vilis iure caelum.,High,In Progress,43
2190,745,3223,2023-04-21,Nisi armarium absque desolo tibi alter.,Medium,In Progress,33
2191,745,2855,2023-03-10,Stips auctus caterva.,Emergency,In Progress,29
2192,745,6778,2022-10-12,Suscipit aeger pariatur depopulo cicuta quia iste.,High,Open,13
2193,745,4233,2024-04-06,Accusantium vorax deripio.,Medium,Closed,17
2194,746,6483,2024-02-05,Chirographum cupiditate atque aeternus.,High,Closed,5
2195,746,7514,2024-05-17,Toties cauda substantia.,High,In Progress,1
2196,746,6305,2024-06-12,Omnis una eos.,High,Open,38
2197,746,2028,2023-03-07,Bardus ascit curvo aranea tantillus altus cotidie tabernus.,Emergency,Open,39
2198,746,1210,2023-11-14,Vulgo contabesco conspergo vallum terra sumptus repellendus sufficio celer.,High,In Progress,16
2199,746,4964,2021-01-30,Asper spoliatio supra cinis turba.,High,In Progress,28
2200,746,1302,2024-01-26,Deleo triduana abduco attollo trans.,Emergency,Open,10
2201,746,4921,2024-02-14,Antepono audax aufero ipsam fuga spoliatio debilito tondeo debitis.,High,Open,31
2202,747,2848,2023-11-14,Adulatio apto explicabo cerno nobis corroboro.,Emergency,In Progress,12
2203,747,5485,2023-09-06,Recusandae deripio usitas demoror victus.,Low,In Progress,36
2204,747,5834,2024-09-09,Defero suasoria aqua acceptus aperio cattus.,Low,Open,37
2205,747,1389,2021-10-28,Allatus ullus tutamen illum appositus.,Low,In Progress,19
2206,749,2056,2021-06-26,Cura venia conscendo quo ventito atrox vapulus aufero aut.,High,Open,35
2207,749,5760,2023-03-27,Vorax cupiditas vorago defaeco voluptatem auctus denique quibusdam desidero odit.,Emergency,In Progress,7
2208,749,184,2022-04-29,Voluptas dapifer pecco annus crepusculum tactus varietas uter adopto derelinquo.,Emergency,Closed,33
2209,750,3787,2021-10-13,Taceo at deorsum carmen distinctio vociferor rem.,High,Open,6
2210,750,2194,2023-11-22,Decor auditor defessus pariatur eligendi atavus aequitas soleo.,Medium,Closed,17
2211,750,4418,2022-11-28,Maxime curis sonitus peccatus aetas patrocinor vae quam conscendo decor.,Low,Open,11
2212,752,6976,2022-08-08,Cattus cena thesaurus catena depraedor bestia.,High,Closed,43
2213,752,2975,2022-08-09,Ambulo quidem antea asporto curo ars suggero trucido.,Medium,Closed,36
2214,752,3425,2020-09-08,Curiositas appono consequatur colo vis beatus viscus valens.,Medium,Open,28
2215,752,6670,2024-08-29,Caecus arceo audeo optio unus blandior succurro volup.,Emergency,Closed,2
2216,752,5358,2024-03-28,Administratio asperiores apparatus.,Medium,Closed,9
2217,753,3020,2022-06-21,Cedo quos cresco ventus cernuus assumenda.,High,Closed,14
2218,753,4419,2021-04-18,Spes stips vulnus ater deripio quaerat thymbra.,Emergency,Open,44
2219,753,2418,2022-12-16,Sulum sunt adimpleo.,High,Closed,34
2220,753,1029,2024-06-04,Tricesimus suffragium benevolentia similique compono vivo.,Emergency,Open,12
2221,753,3922,2024-06-02,Vis cupressus tergiversatio cras ars terebro agnosco ratione vesper.,Medium,Open,7
